block_date,first_block_height,last_block_height
2025-10-12,58607724,58750580
2025-10-13,58750581,58891429
2025-10-14,58891430,59033429
2025-10-15,59033430,59173647
2025-10-16,59173648,59316399
2025-10-17,59316400,59456964
2025-10-18,59456965,59602445
2025-10-19,59602446,59745450
2025-10-20,59745451,59887182
2025-10-21,59887183,60025220
2025-10-22,60025221,60162969
2025-10-23,60162970,60301643
2025-10-24,60301644,60442246
2025-10-25,60442247,60587996
2025-10-26,60587997,60732123
2025-10-27,60732124,60875239
2025-10-28,60875240,61018624
2025-10-29,61018625,61160051
2025-10-30,61160052,61299678
2025-10-31,61299679,61439389
2025-11-01,61439390,61579724
2025-11-02,61579725,61718605
2025-11-03,61718606,61856948
2025-11-04,61856949,61998764
2025-11-05,61998765,62139292
2025-11-06,62139293,62281715
2025-11-07,62281716,62423590
2025-11-08,62423591,62564350
2025-11-09,62564351,62706371
2025-11-10,62706372,62847738
2025-11-11,62847739,62985046
2025-11-12,62985047,63121450
2025-11-13,63121451,63257151
2025-11-14,63257152,63393402
2025-11-15,63393403,63532331
2025-11-16,63532332,63668835
2025-11-17,63668836,63806480
2025-11-18,63806481,63944669
2025-11-19,63944670,64081796
2025-11-20,64081797,64216548
2025-11-21,64216549,64352037
2025-11-22,64352038,64488355
2025-11-23,64488356,64559274
