validator_moniker,block_date,num_blocks_proposed,empty_block_pct,rolling_7day_avg_empty_block_pct
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-30,932,0.00536480686695279,0.13332106897483514
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-01,930,0.0,0.1285489014871504
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-02,922,0.01193058568329718,0.12283801663319044
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-03,927,0.32362459546925565,0.15834826539699531
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-04,928,0.56142241379310343,0.18377400082526624
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-05,934,0.69486081370449682,0.22878831573190894
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-06,938,0.67697228144989341,0.32488221385242849
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-07,925,0.39675675675675676,0.38079534955097188
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-08,929,0.527448869752422,0.45614518808703219
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-09,960,0.48541666666666666,0.52378605679894208
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-10,980,0.14285714285714285,0.4979621349972117
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-11,1004,0.00199203187250996,0.41804350900855547
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-12,1015,0.4916256157635468,0.38900990930270551
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-13,1009,0.61546085232903869,0.38022256228544055
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-14,984,0.45630081300813008,0.38872885603563673
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-15,973,0.44912641315519014,0.37753993366460359
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-16,942,0.43630573248407645,0.37052408592423358
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-17,952,0.52626050420168069,0.425295994687739
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-18,952,0.5357142857142857,0.50154203095084982
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-19,930,0.49677419354838709,0.50227754206296982
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-20,902,0.47671840354767187,0.48245719223706029
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-21,911,0.27113062568605928,0.45600430833390732
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-22,944,0.34639830508474578,0.44132886432384383
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-23,943,0.47083775185577942,0.44626200994837284
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-24,902,0.47339246119733924,0.43870943237632404
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-25,875,0.38857142857142857,0.41768902421305876
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-26,900,0.60333333333333339,0.43291175846805108
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-27,899,0.575083426028921,0.44696390453680096
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-28,882,0.38435374149659862,0.463138635366878
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-29,888,0.1204954954954955,0.43086680542555655
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-30,889,0.058492688413948259,0.37196036779100922
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-10-31,958,0.0020876826722338203,0.30463111371599416
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-01,953,0.034627492130115428,0.254067694224378
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-02,946,0.56342494714587743,0.2483664961975986
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-03,935,0.47807486631016044,0.23450813052348993
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-04,948,0.40084388185654007,0.23686386486062441
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-05,969,0.21981424148606812,0.25105225714499196
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-06,940,0.0031914893617021275,0.24315208585181391
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-07,923,0.00866738894907909,0.24409204389136324
